,subject,metadata.category.set,metadata.category.len,metadata.category.valid,metadata.category.reasons,metadata.unit.value,metadata.unit.valid,metadata.unit.reasons,metadata.dims.shape,metadata.dims.value,metadata.dims.valid,metadata.dims.reasons,metadata.valid,metadata.reasons,valid_x,reasons_x,metadata.dims.product,metadata.dims_by_unit,valid_y,reasons_y,paths.source_mesh.exists,paths.source_mesh.fsize,paths.source_mesh.valid,paths.source_mesh.reasons,paths.source_mask.exists,paths.source_mask.fsize,paths.source_mask.valid,paths.source_mask.reasons,paths.valid,paths.reasons,paths.source_mask.exc
10,wss.1046b3d5a381a8902e5ae31c6c631a39,"{'_StanfordSceneDBModels', '_SceneGalleryModels', 'VideoGameController'}",3.0,True,(),0.0012903931301109,True,(),"(3,)",[17.014687  11.401642   7.0823097],True,(),True,(),True,(),1373.9352901115574,[13185.66148794  8835.78944583  5488.48992973],True,(),True,4111786.0,True,(),True,41117.0,True,(),True,(),
11,wss.10477652cbfcbc0eeda994bbf9145c8e,{'PersonStanding'},1.0,True,(),0.018241681390874,True,(),"(3,)",[4.9344296e+01 1.4040805e+02 4.4855200e-14],True,(),True,(),True,(),3.1077191399140447e-10,[2.70503003e+03 7.69710023e+03 2.45894000e-12],True,(),True,659179.0,True,(),True,16516.0,True,(),True,(),
12,wss.1049af17ad48aaeb6d41c42f7ade8c8,"{'_StanfordSceneDBModels', 'PictureFrame', '_SceneGalleryModels'}",3.0,True,(),0.0387135607746304,True,(),"(3,)",[22.720854 24.441763 11.376484],True,(),True,(),True,(),6317.790784305504,[586.89651753 631.34887391 293.86302299],True,(),True,110124.0,True,(),True,19295.0,True,(),True,(),
13,wss.10507ae95f984daccd8f3fe9ca2145e1,{'Couch'},1.0,True,(),0.0264911370019948,True,(),"(3,)",[207.3289   91.36555  96.69265],True,(),True,(),True,(),1831621.696322998,[7826.34961966 3448.91010126 3649.99999784],True,(),True,229981.0,True,(),True,23480.0,True,(),True,(),
14,wss.1061c1b4af7fd99777f4e9e0a7e4c2,{'Candle'},1.0,True,(),0.00045496646660302456,True,(),"(3,)",[25.530308 42.36807  19.044258],True,(),True,(),True,(),20599.60019823825,[56114.70267385 93123.50054354 41858.59705704],True,(),True,2534568.0,True,(),True,27377.0,True,(),True,(),
15,wss.106d2b545cadbbba005531e2f53712,{'Fan'},1.0,True,(),0.0003417188735258336,True,(),"(3,)",[ 98.98366  87.69989 219.39786],True,(),True,(),True,(),1904561.2499471088,[289664.01234644 256643.38962352 642041.97367347],True,(),True,23308146.0,True,(),True,21894.0,True,(),True,(),
16,wss.1074bdcb3c2032fe0f3f8b6e1796773,"{'ChestOfDrawers', 'Dresser'}",2.0,True,(),0.0291929613820272,True,(),"(3,)",[176.43524   84.659584  58.38592 ],True,(),True,(),True,(),872106.6348152448,[6043.75957927 2899.99986271 1999.99990532],True,(),True,238441.0,True,(),True,46444.0,True,(),True,(),
17,wss.107637b6bdf8129d4904d89e9169817b,{'Couch'},1.0,True,(),0.0226253562317846,True,(),"(3,)",[201.62453  98.47731 101.64667],True,(),True,(),True,(),2018239.4940400366,[8911.44112537 4352.51975665 4492.59976102],True,(),True,2073844.0,True,(),True,64071.0,True,(),True,(),
18,wss.1077080c3c8c6c71bf4af39142c10db1,{'Desk'},1.0,True,(),0.0226417550937281,True,(),"(3,)",[135.85051  65.66109  63.39691],True,(),True,(),True,(),565506.3054497624,[5999.99909184 2900.00001008 2799.99981174],False,"('failed to load',)",True,761552.0,True,(),True,12366.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (6145,) (6144,)"
19,wss.1077ec2ad50f4d1e635469b95109803c,{'ChestOfDrawers'},1.0,True,(),0.0545142389430131,True,(),"(3,)",[ 72.61297 134.43211  72.61297],True,(),True,(),True,(),708812.5791824554,[1332.00006838 2465.99994069 1332.00006838],False,"('failed to load',)",True,331726.0,True,(),True,71.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
20,wss.107e37526a6c86ca3560954e7d85cd64,{'_StanfordSceneDBModels'},1.0,True,(),0.0274185461820071,True,(),"(3,)",[54.837147 16.929007 54.837204],True,(),True,(),True,(),50907.4847127055,[2000.00199267  617.42905286 2000.00407155],True,(),True,37670226.0,True,(),True,32408.0,True,(),True,(),
21,wss.108ad3a805249f426ef4e1604526a95,{'Helicopter'},1.0,True,(),0.0086407940177487,True,(),"(3,)",[492.0639   120.155945 560.27423 ],True,(),True,(),True,(),33125879.311744485,[56946.60687308 13905.66014572 64840.5955343 ],True,(),True,2544602.0,True,(),True,20852.0,True,(),True,(),
22,wss.109d55a137c042f5760315ac3bf2c13e,"{'_StanfordSceneDBModels', 'Bottle', 'WineBottle'}",3.0,True,(),0.0308633659227383,True,(),"(3,)",[ 9.25901  34.646904  9.25901 ],True,(),True,(),True,(),2970.2536553323716,[ 300.00000723 1122.58993678  300.00000723],False,"('failed to load',)",True,944901.0,True,(),True,69.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
23,wss.109db03133db57937ff6ace05b36a5,"{'ChestOfDrawers', 'Dresser', '_AttributesTrain'}",3.0,True,(),0.0326947321239434,True,(),"(3,)",[147.12622  98.0842  102.17102],True,(),True,(),True,(),1474405.2221105003,[4499.99771958 3000.00011097 3124.9994529 ],False,"('failed to load',)",True,188406.0,True,(),True,74.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
24,wss.10a200395145c61aea2f5d52559debc,"{'StandingClock', 'Clock'}",2.0,True,(),0.0047077617174213,True,(),"(3,)",[20.277977 70.851814 14.157887],True,(),True,(),True,(),20341.081584992156,[ 4307.34990791 15050.00003246  3007.34995733],False,"('failed to load',)",True,1563505.0,True,(),True,78.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
25,wss.10a75ef76166772a65327266daecd868,{'Plant'},1.0,True,(),0.0037338602444568,True,(),"(3,)",[265.2776  182.54433 108.11841],True,(),True,(),True,(),5235625.544633993,[71046.47272051 48888.90265001 28956.20160409],False,"('failed to load',)",True,897558.0,True,(),True,90.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
26,wss.10a885f5971d9d4ce858db1dc3499392,{'Suitcase'},1.0,True,(),0.0109848894481635,True,(),"(3,)",[109.31118   68.22495   24.910542],True,(),True,(),True,(),185776.58936781646,[9951.04962283 6210.79987395 2267.70984975],False,"('failed to load',)",True,1317561.0,True,(),True,76.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
27,wss.10adc13570a8b6e3bcceec49967c0de7,{'Bench'},1.0,True,(),0.0196785997429925,True,(),"(3,)",[141.68591   33.45362   22.040031],True,(),True,(),True,(),104467.68823567654,[7199.99958587 1700.0000222  1119.99996381],False,"('failed to load',)",True,82070.0,True,(),True,67.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
28,wss.10b20f680011a4d7683d931288a9d25a,{'TV'},1.0,True,(),0.0119283526641872,True,(),"(3,)",[88.57038  65.18331   8.312272],True,(),True,(),True,(),47989.327518671926,[7425.19797104 5464.56931943  696.84995355],False,"('failed to load',)",True,73044.0,True,(),True,72.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
29,wss.10b43623dbc8ab25ad5067eac75a07f7,{'Bench'},1.0,True,(),0.0185217654427846,True,(),"(3,)",[136.6034    40.515064  37.120396],True,(),True,(),True,(),205442.66438330078,[7375.29046148 2187.42992536 2004.14998855],False,"('failed to load',)",True,1488184.0,True,(),True,67.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
30,wss.10b81dfbb3ba3e8835836c728d324152,{'Mirror'},1.0,True,(),0.0229952139363844,True,(),"(3,)",[105.37619   104.75241     7.7590923],True,(),True,(),True,(),85648.04094212578,[4582.52705504 4555.40054073  337.42205319],True,(),True,8075763.0,True,(),True,52671.0,True,(),True,(),
31,wss.10be2b59cbb7d62399f293951bd5fd3c,"{'_StanfordSceneDBModels', 'PersonStanding'}",2.0,True,(),0.0181383161983064,True,(),"(3,)",[ 43.282158 128.88705   76.841156],True,(),True,(),True,(),428659.1312047592,[2386.22800081 7105.78912568 4236.39962827],False,"('failed to load',)",True,789594.0,True,(),True,88.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
32,wss.10c484963692d3c87d40405e5ee68b4f,"{'ChestOfDrawers', 'Dresser'}",2.0,True,(),0.027929985470468,True,(),"(3,)",[107.53044 161.29567  64.23897],True,(),True,(),True,(),1114173.1814999175,[3849.99985459 5775.00013992 2300.00012237],False,"('failed to load',)",True,126118.0,True,(),True,64.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
33,wss.10c706f946fa0f3ea3056fa1e8da3997,"{'WallArt', 'Picture'}",2.0,True,(),0.2715493215568115,True,(),"(3,)",[114.39287   78.04382    9.621834],True,(),True,(),True,(),85900.42938664282,[421.26001031 287.40200695  35.43309902],False,"('failed to load',)",True,13613.0,True,(),True,78.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
34,wss.10d174a00639990492d9da2668ec34c,"{'Chair', 'OfficeChair'}",2.0,True,(),0.0211622453917889,True,(),"(3,)",[ 57.416134 105.995895  56.436745],True,(),True,(),True,(),343466.94786632236,[2713.13997816 5008.72629712 2666.85996477],False,"('failed to load',)",True,1037201.0,True,(),True,84.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
35,wss.10d3d5961e00b2133ff038bc77759685,{'Bottle'},1.0,True,(),0.0327627929076266,True,(),"(3,)",[10.89127  34.645996 10.89127 ],True,(),True,(),True,(),4109.699807149084,[ 332.42800853 1057.47993151  332.42800853],False,"('failed to load',)",True,712587.0,True,(),True,67.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
36,wss.10dbd3853ac93147a616caf97d73fa02,{'TV'},1.0,True,(),0.0101973645014553,True,(),"(3,)",[72.91145  79.572586 22.689133],True,(),True,(),True,(),131636.73695328878,[7150.0288128  7803.25014259 2224.99970426],False,"('failed to load',)",True,29983.0,True,(),True,79.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
37,wss.10de9af4e91682851e5f7bff98fb8d02,"{'Chair', 'Recliner'}",2.0,True,(),0.0282781860208683,True,(),"(3,)",[104.62929   96.976074 106.759766],True,(),True,(),True,(),1083241.9979934543,[3700.00006092 3429.35978738 3775.33997128],False,"('failed to load',)",True,49330.0,True,(),True,65.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
38,wss.10eb10fe18126d45b97ad864945165a1,"{'Bookcase', '3Shelves'}",2.0,True,(),0.0379616881223895,True,(),"(3,)",[106.29274  144.25441   45.554066],True,(),True,(),True,(),698489.4451689966,[2800.00034923 3799.99987184 1200.00106036],False,"('failed to load',)",True,60963.0,True,(),True,79.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
39,wss.10eef2596b7d3a80afa3b1b4d906a5ac,{'TrashBin'},1.0,True,(),0.0229054060679322,True,(),"(3,)",[55.5227   55.797573 58.67305 ],True,(),True,(),True,(),181770.98094621912,[2423.99981189 2436.00016671 2561.53721204],False,"('failed to load',)",True,282043.0,True,(),True,91.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
40,wss.10f6e09036350e92b3f21f1137c3c347,{'Mug'},1.0,True,(),0.0005923094079513609,True,(),"(3,)",[16.406971 21.900467 21.937897],True,(),True,(),True,(),7882.732322755138,[27700.0006749  36974.70731682 37037.90064027],False,"('failed to load',)",True,1796405.0,True,(),True,80.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
41,wss.10fb3744be2144e3cb2a965e75be701c,{'TrashBin'},1.0,True,(),0.0258732486583951,True,(),"(3,)",[46.810863 72.4451   46.87408 ],True,(),True,(),True,(),158960.2074760719,[1809.23793599 2800.00014519 1811.68127045],True,(),True,3717182.0,True,(),True,79795.0,True,(),True,(),
42,wss.1101146651cd32a1bd09c0f277d16187,"{'LoftBed', 'Bed'}",2.0,True,(),0.0909142649507056,True,(),"(3,)",[209.10281 218.19424 113.64829],True,(),True,(),True,(),5185206.494071313,[2300.00000675 2400.0000453  1250.06004351],False,"('failed to load',)",True,97040.0,True,(),True,77.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
43,wss.110ddaf4740511d59a1974f504647073,{'Books'},1.0,True,(),0.0139305887032729,True,(),"(3,)",[53.028168 19.920742 12.307739],True,(),True,(),True,(),13001.408751115401,[3806.59921339 1430.00001108  883.50458564],False,"('failed to load',)",True,2039648.0,True,(),True,83.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
44,wss.111519c11fd276485f7e9425b1ff625d,{'_StanfordSceneDBModels'},1.0,True,(),0.0445583551585886,True,(),"(3,)",[34.91125  69.46915  32.942795],True,(),True,(),True,(),79894.67377250316,[ 783.49503423 1559.0600181   739.31802201],False,"('failed to load',)",True,955012.0,True,(),True,79.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
45,wss.111720e8cd4c613492d9da2668ec34c,"{'Chair', 'OfficeSideChair'}",2.0,True,(),0.0027825787753696,True,(),"(3,)",[ 74.71224  117.221695  81.73589 ],True,(),True,(),True,(),715834.3758670901,[26849.99995735 42126.99961547 29374.15131729],False,"('failed to load',)",True,101790.0,True,(),True,75.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
46,wss.11183af410a81c186f525e79a05bbcb3,{'Book'},1.0,True,(),0.0077580529169759,True,(),"(3,)",[46.595505  35.26254    4.0174294],True,(),True,(),True,(),6600.941261905611,[6006.08238931 4545.28222189  517.83990687],False,"('failed to load',)",True,83903.0,True,(),True,85.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
47,wss.111cb08c8121b8411749672386e0b711,{'Chair'},1.0,True,(),0.0246908216967286,True,(),"(3,)",[95.79794  98.10305  85.065765],True,(),True,(),True,(),799454.0223859213,[3879.90084642 3973.2598293  3445.23831749],True,(),True,2955382.0,True,(),True,39950.0,True,(),True,(),
48,wss.112484c16b98270710d543c5222bbf6d,"{'_RandomSetStudyModels', 'Credenza'}",2.0,True,(),0.0263973409133047,True,(),"(3,)",[ 52.79468   76.552284 248.135   ],True,(),True,(),True,(),1002850.8372886833,[1999.9999308  2899.9998239  9399.99982631],False,"('failed to load',)",True,263875.0,True,(),True,67.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
49,wss.1129a07c75f5a709cf004563556ddb36,"{'Lamp', 'FloorLamp'}",2.0,True,(),0.0167149761956819,True,(),"(3,)",[ 26.322744 136.22287  108.252556],True,(),True,(),True,(),388167.65640253905,[1574.79996931 8149.74956621 6476.38110475],False,"('failed to load',)",True,210844.0,True,(),True,82.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
50,wss.11358c94662a68117e66b3e5c11f24d4,"{'Chair', 'OfficeChair'}",2.0,True,(),0.029225770123746,True,(),"(3,)",[74.89104 96.67563 71.23781],True,(),True,(),True,(),515771.6089385678,[2562.50013885 3307.88990643 2437.49983998],True,(),True,3180211.0,True,(),True,29076.0,True,(),True,(),
51,wss.11448f34681c545439f3410d5f76299b,"{'Computer', 'Laptop'}",2.0,True,(),0.0189467199822383,True,(),"(3,)",[37.4198   28.874233 43.222015],True,(),True,(),True,(),46700.00514092753,[1975.00147968 1523.97000785 2281.23997402],False,"('failed to load',)",True,963438.0,True,(),True,78.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
52,wss.114509277e76e413c8724d5673a063a6,"{'_Attributes', 'Bottle', 'WineBottle'}",3.0,True,(),0.0329887886113581,True,(),"(3,)",[ 9.484277 39.174187  9.484277],True,(),True,(),True,(),3523.7772820058563,[ 287.50000831 1187.50001588  287.50000831],False,"('failed to load',)",True,459740.0,True,(),True,75.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
53,wss.114ada02ab35426af5afb395b99ae069,{'GuitarStand'},1.0,True,(),0.0276685099149496,True,(),"(3,)",[ 51.084892 126.79648   61.518715],True,(),True,(),True,(),398480.37018764997,[1846.31887142 4582.699986   2223.41988019],False,"('failed to load',)",True,251800.0,True,(),True,77.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
54,wss.114aff55d9933650a83967b36ab91a2e,"{'_StanfordSceneDBModels', 'Statue'}",2.0,True,(),0.028311539693887,True,(),"(3,)",[ 50.683044 175.3386    50.898087],True,(),True,(),True,(),452315.7232701673,[1790.19030925 6193.18489548 1797.78590463],True,(),True,2791870.0,True,(),True,26671.0,True,(),True,(),
55,wss.114f65a1635af7f862237730c52678c5,"{'_StanfordSceneDBModels', 'MilkCarton', 'FoodItem'}",3.0,True,(),0.0335710172865075,True,(),"(3,)",[12.429434 35.553722  9.066626],True,(),True,(),True,(),4006.656641102952,[ 370.24299544 1059.06001288  270.07301931],False,"('failed to load',)",True,19259.0,True,(),True,82.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
56,wss.115136d967aafb7d58a311513e993aad,"{'Counter', 'Oven'}",2.0,True,(),0.0243154578321478,True,(),"(3,)",[137.99022   87.535645 122.185165],True,(),True,(),True,(),1475882.2948737997,[5674.9998685  3599.99986857 5024.99956379],False,"('failed to load',)",True,370344.0,True,(),True,79.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
57,wss.11525a18678f7ce6ae1e1181f20bb9c8,"{'Chair', 'OfficeChair'}",2.0,True,(),0.0019432893738695,True,(),"(3,)",[65.377106 95.54862  65.59125 ],True,(),True,(),True,(),409728.3535605715,[33642.49652115 49168.49815822 33752.69318197],False,"('failed to load',)",True,2244667.0,True,(),True,80.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
58,wss.1152a5db0db892286c52446b30bba6c,{'Fireplace'},1.0,True,(),0.0296301649451334,True,(),"(3,)",[213.33807  163.10576   72.594025],True,(),True,(),True,(),2526030.189923396,[7200.02978029 5504.71994678 2450.00407978],False,"('failed to load',)",True,15212.0,True,(),True,80.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
59,wss.1165e8de3cee9f706314698551cd43b,"{'TableLamp', 'Lamp'}",2.0,True,(),0.0007620527437897655,True,(),"(3,)",[45.555798 49.800148 45.55574 ],True,(),True,(),True,(),103351.6459897471,[59780.37395869 65350.00156595 59780.29784848],True,(),True,2915083.0,True,(),True,35413.0,True,(),True,(),
60,wss.11666b64fa53ee4c635f2989c7524167,{'Scissors'},1.0,True,(),0.0260099722286108,True,(),"(3,)",[10.54628    20.933609    0.52072144],True,(),True,(),True,(),114.96055853738682,[405.4706367  804.83011731  20.02006905],False,"('failed to load',)",True,175464.0,True,(),True,82.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
61,wss.1166c209e067833ea44b6af22454453b,{'Rug'},1.0,True,(),0.0434428230502559,True,(),"(3,)",[129.71548     3.5990727 249.8175   ],True,(),True,(),True,(),116628.65959053155,[2985.88974869   82.84619754 5750.48955062],False,"('failed to load',)",True,2856.0,True,(),True,90.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
62,wss.1178a3589bdbaf19ed0d804498912ba8,{'ArcadeMachine'},1.0,True,(),0.0297645333481329,True,(),"(3,)",[ 69.98981 199.85812 110.30349],True,(),True,(),True,(),1542928.730818161,[2351.44993477 6714.63979167 3705.86995972],True,(),True,8478151.0,True,(),True,37949.0,True,(),True,(),
63,wss.118083b82350b53cb23e7e4bd2944793,"{'Monitor', '_Attributes'}",2.0,True,(),0.036538331422383,True,(),"(3,)",[68.50937  62.57189  33.965816],True,(),True,(),True,(),145603.32733277298,[1874.99996122 1712.49992991  929.59406404],False,"('failed to load',)",True,816845.0,True,(),True,67.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
64,wss.11832029ed477440e279c4dee8066f27,{'_StanfordSceneDBModels'},1.0,True,(),0.0329248657186254,True,(),"(3,)",[26.174742  8.094282 26.174742],True,(),True,(),True,(),5545.5311623240605,[794.98401675 245.84100264 794.98401675],False,"('failed to load',)",True,233102.0,True,(),True,66.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
65,wss.118644ba80aa5048ac59fb466121cd17,"{'_AttributesTrain', 'Apple', '_StanfordSceneDBModels', 'Fruit', 'FoodItem'}",5.0,True,(),0.039810137638702,True,(),"(3,)",[11.105435 11.276778 10.827004],True,(),True,(),True,(),1355.903877066532,[278.95997499 283.2639792  271.96600269],False,"('failed to load',)",True,231835.0,True,(),True,75.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
66,wss.118886a00679ffc9322ed2ef5fc90e25,{'LightSwitch'},1.0,True,(),0.0698465306426893,True,(),"(3,)",[19.207796 31.430939 12.659683],True,(),True,(),True,(),7642.891976366205,[275.00000105 450.00000302 181.24999028],False,"('failed to load',)",True,84523.0,True,(),True,66.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
67,wss.118a3c4acff53478af9a03c11330e718,{'_StanfordSceneDBModels'},1.0,True,(),0.0234375258268021,True,(),"(3,)",[ 72.09664  134.54993   66.443985],True,(),True,(),True,(),644546.3790487195,[3076.11991696 5740.79068731 2834.94023606],False,"('failed to load',)",True,701222.0,True,(),True,77.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
68,wss.1195f3e9e2d20c31af2bcf0b16fddd8f,{'Calculator'},1.0,True,(),0.0597601343096818,True,(),"(3,)",[16.469355  2.058665 30.585896],True,(),True,(),True,(),1037.01127766493,[275.59099708  34.44880143 511.81103177],False,"('failed to load',)",True,175959.0,True,(),True,66.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
69,wss.1199a072702783fca326b007412ad4b1,{'Pencil'},1.0,True,(),0.0307787404489269,True,(),"(3,)",[ 1.5920734 20.114399   1.6031722],True,(),True,(),True,(),51.33934463048518,[ 51.7263987  653.51598885  52.08699825],False,"('failed to load',)",True,211141.0,True,(),True,77.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
70,wss.119ddb219f69b1cc492d9da2668ec34c,"{'Chair', 'OfficeChair'}",2.0,True,(),0.0019849779624218,True,(),"(3,)",[63.13977 97.06463 65.67121],True,(),True,(),True,(),402475.1002561961,[31808.80150577 48899.60082054 33084.10029897],False,"('failed to load',)",True,875895.0,True,(),True,68.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
71,wss.11a094ea632449db32a756399014da6,{'Mattress'},1.0,True,(),0.0234315570693932,True,(),"(3,)",[166.05017  16.60503 184.50053],True,(),True,(),True,(),508717.41738058475,[7086.6041684   708.66097165 7874.01918932],False,"('failed to load',)",True,81822.0,True,(),True,79.0,False,"('failed to load',)",False,"('failed to load',)","operands could not be broadcast together with shape (1,) (0,)"
